Title,Animation,Description,External ID,Locale,Media,Module,Video
Exercício 1.1 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.1/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.1,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.1/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.4 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.4/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.4,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.4/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.1 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.1/animation.svg,Traditional School: Self-fed serve,exercise-1.1,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.1/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.6 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.6/animation.svg,Definir a linha de avanço para a zona ofensiva quando o serviço for dirigido para o 1.º VLC,exercise-1.6,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.6/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.0 – Traditional School: Self-fed serve (self-toss),https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.0/animation.svg,Traditional School: Self-fed serve (self-toss),exercise-1.0,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.0/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercise 1.5 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.5/animation.svg,Traditional School: Self-fed serve,exercise-1.5,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.5/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.5 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.5/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.5,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.5/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercise 1.3 – Traditional School: Self-fed serve,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.3/animation.svg,Traditional School: Self-fed serve,exercise-1.3,en-US,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.3/diagram.svg,Module 1 (https://app.notion.com/p/Module-1-39b6b2772ee481479f81ee102be9a355?pvs=21),
Exercício 1.3 - Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.3/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.3,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.3/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
Exercício 1.0 – Escola tradicional: Lançamento auto-manual,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.0/animation.svg,Escola tradicional: Lançamento auto-manual,exercise-1.0,pt,https://qmngnefmhwigfkaxtmsa.supabase.co/storage/v1/object/public/course-content/exercises/exercise-1.0/diagram.svg,Mesociclo 1 (https://app.notion.com/p/Mesociclo-1-39b6b2772ee4819f91deefd1dd50cf4b?pvs=21),
